,0
userId,3
url,5
a_adaptability,5
a1_adapts_well_to_apartment_living,0
a2_good_for_novice_owners,4
a3_sensitivity_level,4
a4_tolerates_being_alone,3
a5_tolerates_cold_weather,1
a6_tolerates_hot_weather,0
b_all_around_friendliness,3
b1_affectionate_with_family,4
b2_incredibly_kid_friendly_dogs,5
b3_dog_friendly,1
b4_friendly_toward_strangers,4
c_health_grooming,4
c1_amount_of_shedding,1
c2_drooling_potential,0
c3_easy_to_groom,1
c4_general_health,4
c5_potential_for_weight_gain,1
c6_size,5
d_trainability,0
d1_easy_to_train,5
d2_intelligence,0
d3_potential_for_mouthiness,2
d4_prey_drive,2
d5_tendency_to_bark_or_howl,1
d6_wanderlust_potential,1
e_exercise_needs,2
e1_energy_level,1
e2_intensity,2
e3_exercise_needs,3
e4_potential_for_playfulness,1
breed_group,4
height,1
weight,1
life_span,2
